Municipality,Residents 2020-10-24,Count 2020-10-24,Residents 2020-10-31,Count 2020-10-31,Residents 2020-11-07,Count 2020-11-07,Residents 2020-11-14,Count 2020-11-14,Residents 2020-11-21,Count 2020-11-21,Residents 2020-11-28,Count 2020-11-28,Residents 2020-12-05,Count 2020-12-05,Residents 2020-12-12,Count 2020-12-12,Residents 2020-12-19,Count 2020-12-19,Residents 2020-12-26,Count 2020-12-26,Residents 2021-01-02,Count 2021-01-02,Residents 2021-01-09,Count 2021-01-09,Residents 2021-01-16,Count 2021-01-16,Residents 2021-01-23,Count 2021-01-23,Residents 2021-01-30,Count 2021-01-30,Residents 2021-02-06,Count 2021-02-06,Residents 2021-02-13,Count 2021-02-13,Residents 2021-02-20,Count 2021-02-20,Residents 2021-02-27,Count 2021-02-27
(not given),0.0,2.0,0.0,5.0,0.0,1.0,0.0,23.0,0.0,55.0,0.0,319.0,0.0,41.0,0.0,193.0,0.0,278.0,0.0,213.0,0.0,241.0,0.0,381.0,0.0,385.0,0.0,296.0,0.0,243.0,0.0,269.0,0.0,233.0,0.0,211.0,0.0,167.0
Abington,,,,,,,,,12.0,2.0,,,31.0,5.0,6.0,1.0,6.0,1.0,,,18.0,3.0,,,,,,,,,,,,,12.0,2.0,6.0,1.0
Acton,,,,,,,,,,,4.0,1.0,4.0,1.0,4.0,1.0,,,9.0,2.0,,,,,,,,,,,,,,,,,,
Acushnet,,,,,,,9.0,1.0,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Adams,,,,,,,23.0,2.0,23.0,2.0,,,,,11.0,1.0,23.0,2.0,,,,,11.0,1.0,11.0,1.0,11.0,1.0,,,,,,,,,,
Agawam,,,3.0,1.0,,,3.0,1.0,3.0,1.0,,,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
Allston,,,,,,,,,20.0,6.0,,,13.0,4.0,6.0,2.0,,,3.0,1.0,6.0,2.0,,,,,,,,,41.0,12.0,34.0,10.0,10.0,3.0,3.0,1.0
Amesbury,6.0,1.0,,,,,24.0,4.0,6.0,1.0,,,,,,,6.0,1.0,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,
Amherst,,,,,,,2.0,1.0,,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
Andover,,,,,3.0,1.0,,,6.0,2.0,,,,,3.0,1.0,3.0,1.0,3.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,
Arlington,,,,,,,4.0,2.0,4.0,2.0,,,,,,,,,2.0,1.0,2.0,1.0,,,2.0,1.0,2.0,1.0,,,,,2.0,1.0,,,4.0,2.0
Ashburnham,,,,,16.0,1.0,,,,,,,,,16.0,1.0,,,,,16.0,1.0,,,,,,,,,16.0,1.0,,,,,,
Ashby,,,,,,,,,32.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashfield,,,,,,,,,57.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland,,,,,,,,,,,6.0,1.0,6.0,1.0,6.0,1.0,,,,,,,,,6.0,1.0,6.0,1.0,60.0,10.0,,,12.0,2.0,,,,
Assonet,,,,,,,,,11.0,1.0,,,,,,,,,11.0,1.0,,,,,,,,,,,,,,,,,,
Athol,,,8.0,1.0,8.0,1.0,,,17.0,2.0,,,17.0,2.0,43.0,5.0,51.0,6.0,25.0,3.0,8.0,1.0,17.0,2.0,,,17.0,2.0,,,17.0,2.0,25.0,3.0,,,,
Attleborough,,,,,,,20.0,9.0,20.0,9.0,2.0,1.0,4.0,2.0,6.0,3.0,9.0,4.0,11.0,5.0,2.0,1.0,,,4.0,2.0,4.0,2.0,,,2.0,1.0,4.0,2.0,,,4.0,2.0
Auburn,,,,,,,,,,,6.0,1.0,12.0,2.0,,,6.0,1.0,,,6.0,1.0,6.0,1.0,,,,,,,,,12.0,2.0,6.0,1.0,,
Auburndale,,,,,10.0,1.0,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,,,,,,,,
Avon,,,,,,,,,,,,,22.0,1.0,,,,,22.0,1.0,,,22.0,1.0,,,,,,,,,45.0,2.0,,,,
Ayer,,,,,13.0,1.0,,,,,,,,,,,13.0,1.0,,,,,,,13.0,1.0,,,,,,,,,,,,
Baldwinville,,,52.0,1.0,,,,,52.0,1.0,,,,,,,,,52.0,1.0,,,,,,,,,,,,,52.0,1.0,,,,
Barnstable,,,4.0,2.0,,,,,2.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,
Barre,,,,,,,,,,,,,,,,,,,,,,,18.0,1.0,,,,,,,,,,,,,,
Bedford,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,,,,,,,,,,,,
Belchertown,,,6.0,1.0,,,34.0,5.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham,,,,,6.0,1.0,6.0,1.0,,,,,,,,,6.0,1.0,6.0,1.0,,,,,6.0,1.0,,,,,6.0,1.0,,,,,,
Belmont,,,,,,,,,4.0,1.0,,,,,4.0,1.0,,,,,,,,,4.0,1.0,,,,,,,,,,,4.0,1.0
Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,1.0,,,,,,,,
Beverly,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,7.0,3.0,2.0,1.0,2.0,1.0,,,,,2.0,1.0,2.0,1.0,,,2.0,1.0,,,,,,,,
Billerica,,,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackstone,,,,,11.0,1.0,,,,,,,11.0,1.0,,,,,33.0,3.0,,,,,,,,,,,,,,,,,11.0,1.0
Bolton,,,,,,,,,,,,,20.0,1.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,
