Table 1
Check Date,Actual Individual Payment,Key Tenant Key,Tenant ID,Unit ZIP
01/01/2019,230,56234,1200024641,01420
01/01/2019,420,57339,1500009335,01420
01/01/2019,300,57230,1500009038,01605
01/01/2019,300,58288,1500011498,01475
01/01/2019,200,57666,1500009843,01605
01/01/2019,200,57337,1500009332,01610
01/01/2019,240,58222,1500011315,01606
01/01/2019,250,59519,1500023225,01608
01/01/2019,250,59209,1500022787,01605
01/01/2019,500,58567,1500021928,02121
01/01/2019,525,58587,1500021952,02121
01/01/2019,340,58619,1500022005,02169
01/01/2019,374.39,58603,1500021983,02121
01/01/2019,406.25,59172,1500022745,02126
01/01/2019,600,59418,1500023071,02122
01/01/2019,800,33042,600226723,02119
01/01/2019,740,60182,1500024379,02119
01/01/2019,675,60557,1500025344,02118
01/01/2019,144.34,60575,1500025377,02199
01/01/2019,640,60576,1500025378,02130
01/01/2019,175,60670,1500025506,02121
01/01/2019,700,60673,1500025509,02126
01/01/2019,982,60688,1500025524,02129
01/01/2019,500,26518,600167136,02130
01/01/2019,1242,22989,600124743,02119
01/01/2019,1132.8,60913,1500025885,75087
01/01/2019,460.9,60981,1500026010,02149
01/01/2019,3186,60962,1500025950,02476
01/01/2019,1558,22215,600114512,02136
01/01/2019,750,22215,600114512,02136
01/01/2019,4000,28577,600197955,02150
01/01/2019,2456,29716,600207143,02121
01/01/2019,355,29716,600207143,02121
01/01/2019,3597,23150,600126349,02151
01/01/2019,4000,22042,600113940,02148
01/01/2019,666,60970,1500025975,02136
01/01/2019,2758,29938,600208416,02136
01/01/2019,3542,61002,1500026044,02136
01/01/2019,4000,60993,1500026024,02121
01/01/2019,1363.05,60965,1500025961,02118
01/01/2019,2058,23432,600128932,02119
01/01/2019,4000,31790,600221380,01880
01/01/2019,500,61013,1500026072,02124
01/01/2019,1376,61013,1500026072,02124
01/01/2019,1376,61013,1500026072,02124
01/01/2019,748,61013,1500026072,02124
01/01/2019,2001.08,30986,600215365,02126
01/01/2019,4000,61015,1500026077,02125
01/01/2019,2383,61016,1500026079,02124
01/01/2019,109,61016,1500026079,02124
01/01/2019,109,61016,1500026079,02124
01/01/2019,4000,61021,1500026086,02132
01/01/2019,2996.23,30943,600215181,02124
01/01/2019,1003.77,30943,600215181,02124
01/01/2019,4000,61025,1500026092,02125
01/01/2019,4000,31008,600215582,02122
01/01/2019,1409.75,61028,1500026110,02145
01/01/2019,4000,61032,1500026114,02126
01/01/2019,1813,61034,1500026116,02176
01/01/2019,2401.16,61035,1500026117,02136
01/01/2019,715.88,61036,1500026118,02131
01/01/2019,694.94,60731,1500025577,02124
01/01/2019,1400,61044,1500026148,01801
01/01/2019,262,61044,1500026148,01801
01/01/2019,525,61044,1500026148,01801
01/01/2019,700,23378,600128397,02124
01/01/2019,4000,61047,1500026151,02115
